Accident ID,Timestamp,Velocity (m/s),Speed (m/s),Speed (km/h),Impact Force (N),Vibration (Hz),Pressure (Pa),Temperature (Â°C),G-Force (g),Impact Force Percentage (%),Impact Force Classification
A0046,2024-09-25 04:24:46,38.0899575,38.0899575,137.123847,571349.3625,64.43492909,104882.5632,25.74620919,38.82768348,95.33066343,4
A0047,2024-09-25 04:24:47,19.04242299,19.04242299,68.55272276,285636.3448,144.892866,95465.74352,16.3836313,19.41123648,47.65893522,2
A0048,2024-09-25 04:24:48,21.81385994,21.81385994,78.52989578,327207.8991,244.9953291,97418.74693,15.14071585,22.2363506,54.59522343,3
A0049,2024-09-25 04:24:49,12.35328487,12.35328487,44.47182554,185299.2731,219.2514441,103370.8702,19.91578242,12.59254319,30.91751527,2
A0050,2024-09-25 04:24:50,34.01576448,34.01576448,122.4567521,510236.4672,232.7735736,99546.4517,27.90689151,34.67458153,85.13386752,4
A0051,2024-09-25 04:24:51,27.22854975,27.22854975,98.0227791,408428.2463,10.38386405,101990.549,22.28428018,27.75591208,68.14698368,3
A0052,2024-09-25 04:24:52,34.8140169,34.8140169,125.3304608,522210.2535,352.4445908,99555.46349,28.68891068,35.48829449,87.13171517,4
A0053,2024-09-25 04:24:53,25.11399803,25.11399803,90.41039292,376709.9705,103.3525791,101537.4901,20.41600532,25.60040574,62.85473262,3
A0054,2024-09-25 04:24:54,16.14810363,16.14810363,58.13317308,242221.5545,305.1512355,98662.88087,24.39663003,16.46085997,40.41509977,2
A0055,2024-09-25 04:24:55,19.12258798,19.12258798,68.84131674,286838.8198,496.3087006,102789.8505,29.9612107,19.49295411,47.85957031,2
A0056,2024-09-25 04:24:56,28.02762962,28.02762962,100.8994666,420414.4444,281.6234528,99370.81602,19.51572415,28.57046853,70.14690228,3
A0057,2024-09-25 04:24:57,27.89279903,27.89279903,100.4140765,418391.9855,398.8997765,97628.58811,15.82076133,28.43302654,69.8094514,3
A0058,2024-09-25 04:24:58,14.3648716,14.3648716,51.71353775,215473.074,52.57709614,98846.87534,18.51938328,14.64309031,35.95206793,2
A0059,2024-09-25 04:24:59,11.8258636,11.8258636,42.57310896,177387.954,365.9034369,96421.05426,21.76453109,12.05490683,29.59749753,2
A0060,2024-09-25 04:25:00,30.53751582,30.53751582,109.935057,458062.7374,95.27614322,104935.3585,29.38247414,31.12896618,76.42858733,4
A0061,2024-09-25 04:25:01,38.07654827,38.07654827,137.0755738,571148.2241,45.97535585,96370.74248,17.46134836,38.81401455,95.29710314,4
A0062,2024-09-25 04:25:02,28.81605124,28.81605124,103.7377845,432240.7685,386.0066877,104670.1658,22.793966,29.37416028,72.12014563,3
A0063,2024-09-25 04:25:03,13.34656662,13.34656662,48.04763983,200198.4993,466.5796298,99604.52217,24.10323695,13.60506281,33.40347782,2
A0064,2024-09-25 04:25:04,24.77060332,24.77060332,89.17417194,371559.0498,44.10031204,96028.90788,27.47213313,25.25036016,61.99529228,3
A0065,2024-09-25 04:25:05,18.46915308,18.46915308,66.48895107,277037.2961,72.39439898,96270.28019,17.07016369,18.82686348,46.22416856,2
A0066,2024-09-25 04:25:06,28.69862391,28.69862391,103.3150461,430479.3587,444.2375404,98234.69189,23.96479654,29.25445863,71.82625124,3
A0067,2024-09-25 04:25:07,32.48450772,32.48450772,116.9442278,487267.6158,74.21507834,100694.6245,29.64948752,33.1136674,81.30147355,4
A0068,2024-09-25 04:25:08,10.80983025,10.80983025,38.91538889,162147.4537,431.5002738,97011.3769,21.39592029,11.01919495,27.05459278,2
A0069,2024-09-25 04:25:09,17.71498572,17.71498572,63.77394858,265724.7858,349.5654336,99278.20964,16.9690737,18.05808942,44.33665596,2
A0070,2024-09-25 04:25:10,13.58557079,13.58557079,48.90805484,203783.5618,170.9348054,104173.9877,15.96857104,13.84869601,34.00165192,2
A0071,2024-09-25 04:25:11,38.62189268,38.62189268,139.0388136,579328.3902,467.4723086,99130.72,18.52195509,39.36992118,96.66197848,4
A0072,2024-09-25 04:25:12,33.55860098,33.55860098,120.8109635,503379.0147,175.7916913,98522.64977,25.00473979,34.20856369,83.98968929,4
A0073,2024-09-25 04:25:13,39.90089929,39.90089929,143.6432375,598513.4894,93.72029183,101458.3743,18.52271744,40.67369958,99.86304661,4
A0074,2024-09-25 04:25:14,20.21569575,20.21569575,72.77650469,303235.4362,425.3166161,103870.5708,20.64457203,20.60723318,50.5953751,3
A0075,2024-09-25 04:25:15,28.62321239,28.62321239,103.0435646,429348.1858,281.8479786,101604.5557,23.85934193,29.17758653,71.63751303,3
A0076,2024-09-25 04:25:16,37.07707424,37.07707424,133.4774673,556156.1136,54.17259333,104228.1597,27.5250446,37.79518271,92.79564267,4
A0077,2024-09-25 04:25:17,26.08741392,26.08741392,93.91469012,391311.2088,282.3299851,96823.46394,27.13834931,26.59267474,65.29097536,3
A0078,2024-09-25 04:25:18,29.41324408,29.41324408,105.8876787,441198.6611,47.48093485,101942.1895,29.30595548,29.98291955,73.61478604,3
A0079,2024-09-25 04:25:19,22.83108692,22.83108692,82.19191292,342466.3038,361.2959586,100068.577,18.32213566,23.27327923,57.14111556,3
A0080,2024-09-25 04:25:20,23.35305404,23.35305404,84.07099456,350295.8107,136.1177017,100767.1872,27.64885941,23.8053558,58.44748279,3
A0081,2024-09-25 04:25:21,24.06307002,24.06307002,86.62705208,360946.0503,145.9025189,97330.71276,16.49689903,24.52912337,60.22449433,3
A0082,2024-09-25 04:25:22,14.00822476,14.00822476,50.42960913,210123.3714,58.51129515,97135.54713,24.58337973,14.27953594,35.05946048,2
A0083,2024-09-25 04:25:23,27.49940273,27.49940273,98.99784983,412491.041,184.2604887,96796.72565,19.08748175,28.03201094,68.82486825,3
A0084,2024-09-25 04:25:24,37.94788659,37.94788659,136.6123917,569218.2988,186.8010879,97839.68522,19.75685,38.68286094,94.97509165,4
A0085,2024-09-25 04:25:25,10.20258485,10.20258485,36.72930544,153038.7727,110.2231415,95177.63548,22.37160215,10.40018843,25.53479305,2
A0086,2024-09-25 04:25:26,18.29715208,18.29715208,65.86974749,274457.2812,153.4899162,96288.91987,19.61837725,18.65153117,45.79368845,2
A0087,2024-09-25 04:25:27,12.24378592,12.24378592,44.07762932,183656.7888,237.9817459,99066.9835,29.25648356,12.48092347,30.64346383,2
A0088,2024-09-25 04:25:28,29.51060493,29.51060493,106.2381777,442659.0739,498.7176498,99268.42555,16.80508293,30.08216608,73.85845852,3
A0089,2024-09-25 04:25:29,24.06663974,24.06663974,86.63990308,360999.5962,249.1605139,99132.99119,29.1807289,24.53276223,60.23342855,3
A0090,2024-09-25 04:25:30,10.34499821,10.34499821,37.24199355,155174.9731,47.4331672,97279.04012,18.29513431,10.54536005,25.89122192,2
A0091,2024-09-25 04:25:31,17.47996846,17.47996846,62.92788645,262199.5269,362.4085936,99363.07728,20.43119769,17.81852034,43.74846021,2
A0092,2024-09-25 04:25:32,22.5727038,22.5727038,81.26173367,338590.557,407.9918972,95278.61519,20.88685446,23.00989174,56.49444026,3
A0093,2024-09-25 04:25:33,10.20878633,10.20878633,36.75163078,153131.7949,131.0709056,99525.4595,29.88439039,10.40651002,25.55031398,2
A0094,2024-09-25 04:25:34,14.38850076,14.38850076,51.79860272,215827.5113,70.41745874,98033.55422,21.79951932,14.66717712,36.01120644,2
A0095,2024-09-25 04:25:35,24.41729743,24.41729743,87.90227075,366259.4615,495.637413,104524.8473,20.55756425,24.89021145,61.11104649,3
A0096,2024-09-25 04:25:36,37.50996173,37.50996173,135.0358622,562649.4259,313.0036591,104921.3315,15.06345712,38.23645436,93.87906345,4
A0097,2024-09-25 04:25:37,17.28843283,17.28843283,62.23835818,259326.4924,300.2981639,96587.43465,23.31982913,17.62327505,43.26908927,2
A0098,2024-09-25 04:25:38,30.23077266,30.23077266,108.8307816,453461.5899,408.6462859,104127.6472,18.26974769,30.81628202,75.66087765,4
A0099,2024-09-25 04:25:39,24.82391274,24.82391274,89.36608586,372358.6911,277.6407054,96464.53176,20.22519449,25.30470208,62.12871386,3
A0100,2024-09-25 04:25:40,38.64743839,38.64743839,139.1307782,579711.5758,422.7249678,102644.2896,28.1311938,39.39596166,96.72591369,4
A0101,2024-09-25 04:25:41,16.79059215,16.79059215,60.44613173,251858.8822,462.3112096,96469.77279,23.86700773,17.1157922,42.02310514,2
A0102,2024-09-25 04:25:42,15.30431727,15.30431727,55.09554218,229564.7591,280.8849922,104156.3594,28.07607907,15.60073116,38.30329081,2
A0103,2024-09-25 04:25:43,36.5712989,36.5712989,131.656676,548569.4835,59.30384103,103475.0143,25.46443902,37.27961152,91.52979986,4
A0104,2024-09-25 04:25:44,12.07391516,12.07391516,43.46609458,181108.7274,47.2839605,96061.9079,29.53291308,12.30776265,30.21831523,2
A0105,2024-09-25 04:25:45,18.52576339,18.52576339,66.6927482,277886.4508,104.845116,104254.716,16.35126056,18.88457022,46.36585154,2
A0106,2024-09-25 04:25:46,17.9291585,17.9291585,64.5449706,268937.3775,236.438769,99474.75553,28.47236876,18.2764103,44.87268264,2
A0107,2024-09-25 04:25:47,32.14552131,32.14552131,115.7238767,482182.8196,133.532065,96600.41682,21.57311514,32.7681155,80.45306621,4
A0108,2024-09-25 04:25:48,32.52930372,32.52930372,117.1054934,487939.5558,123.1363268,101019.3407,16.31890447,33.15933101,81.41358794,4
A0109,2024-09-25 04:25:49,20.5455944,20.5455944,73.96413985,308183.916,63.48883516,98288.3871,17.6309908,20.94352131,51.42103782,3
A0110,2024-09-25 04:25:50,25.50816733,25.50816733,91.82940239,382622.51,404.0047938,100486.7064,20.11156713,26.00220931,63.84125041,3
A0111,2024-09-25 04:25:51,11.75405741,11.75405741,42.31460667,176310.8611,418.791368,102402.0545,22.76281127,11.9817099,29.41778265,2
A0112,2024-09-25 04:25:52,35.58453904,35.58453904,128.1043405,533768.0855,240.5493815,96337.3763,15.41503336,36.2737401,89.06016013,4
A0113,2024-09-25 04:25:53,23.92071591,23.92071591,86.11457729,358810.7387,71.37435633,103644.1398,21.09929273,24.38401214,59.86821377,3
A0114,2024-09-25 04:25:54,32.60631359,32.60631359,117.3827289,489094.7039,129.7325894,97277.155,29.85483234,33.23783241,81.60632647,4
A0115,2024-09-25 04:25:55,14.09782097,14.09782097,50.75215547,211467.3145,181.5287303,98869.27355,25.62889013,14.37086745,35.28369979,2
A0116,2024-09-25 04:25:56,16.99420103,16.99420103,61.17912372,254913.0155,437.3074734,103181.3495,16.0602173,17.32334458,42.53269275,2
A0117,2024-09-25 04:25:57,14.22832532,14.22832532,51.22197114,213424.8798,292.4411453,103156.0037,23.72808834,14.50389941,35.61032307,2
A0118,2024-09-25 04:25:58,25.80614433,25.80614433,92.90211959,387092.165,447.9390962,96620.74885,27.52417328,26.30595752,64.58702034,3
A0119,2024-09-25 04:25:59,39.04995245,39.04995245,140.5798288,585749.2867,113.5931958,97744.33293,28.98880197,39.80627161,97.73331656,4
A0120,2024-09-25 04:26:00,38.15662632,38.15662632,137.3638547,572349.3948,198.1164611,96908.88463,21.84181689,38.89564354,95.49752061,4
A0121,2024-09-25 04:26:01,29.57973798,29.57973798,106.4870567,443696.0696,140.4207753,99912.08229,24.13012698,30.1526381,74.03148311,3
A0122,2024-09-25 04:26:02,15.92817523,15.92817523,57.34143084,238922.6285,391.0463286,96055.43119,22.09380733,16.236672,39.86466807,2
A0123,2024-09-25 04:26:03,30.48988747,30.48988747,109.7635949,457348.3121,348.3205777,103997.6183,28.24584755,31.08041536,76.3093842,4
A0124,2024-09-25 04:26:04,30.47416409,30.47416409,109.7069907,457112.4613,72.37296181,96503.52463,27.84510224,31.06438745,76.27003207,4
A0125,2024-09-25 04:26:05,15.29515226,15.29515226,55.06254813,229427.2839,360.6981267,100170.4919,19.84087582,15.59138864,38.28035282,2
A0126,2024-09-25 04:26:06,35.27545346,35.27545346,126.9916324,529131.8019,403.7702058,99667.55865,23.5474306,35.95866815,88.28658791,4
A0127,2024-09-25 04:26:07,14.28701968,14.28701968,51.43327085,214305.2952,364.9460018,103880.8794,29.34615437,14.56373056,35.75722196,2
A0128,2024-09-25 04:26:08,13.6490279,13.6490279,49.13650045,204735.4186,472.2588026,103760.1356,25.60342688,13.91338217,34.16047092,2
A0129,2024-09-25 04:26:09,39.47693794,39.47693794,142.1169766,592154.0691,481.0945164,104668.5405,19.78905211,40.24152695,98.80196596,4
A0130,2024-09-25 04:26:10,20.60645518,20.60645518,74.18323864,309096.8277,69.50208298,97817.79815,18.20827729,21.00556083,51.57335876,3
A0131,2024-09-25 04:26:11,37.63502386,37.63502386,135.4860859,564525.358,372.1970985,99075.34278,27.75972816,38.3639387,94.19206607,4
A0132,2024-09-25 04:26:12,15.9520191,15.9520191,57.42726876,239280.2865,213.4410638,98945.21572,15.88851371,16.26097768,39.92434394,2
A0133,2024-09-25 04:26:13,19.60832578,19.60832578,70.58997281,294124.8867,70.30218382,97207.29191,29.62247375,19.98809968,49.07526362,2
A0134,2024-09-25 04:26:14,25.28013602,25.28013602,91.00848965,379202.0402,124.2914389,104063.6827,17.6747262,25.76976148,63.27053891,3
A0135,2024-09-25 04:26:15,31.54793885,31.54793885,113.5725799,473219.0827,162.0224052,99441.35234,18.30957614,32.15895907,78.95745068,4
A0136,2024-09-25 04:26:16,28.56280633,28.56280633,102.8261028,428442.095,389.3833958,101570.8043,23.16987603,29.11601053,71.48633015,3
A0137,2024-09-25 04:26:17,30.31288793,30.31288793,109.1263965,454693.3189,476.5700192,102400.9557,17.41122419,30.8999877,75.86639384,4
A0138,2024-09-25 04:26:18,35.89268008,35.89268008,129.2136483,538390.2011,31.15746733,103517.3269,20.79176744,36.58784921,89.83136839,4
A0139,2024-09-25 04:26:19,23.60674754,23.60674754,84.98429116,354101.2132,70.30244116,101691.4178,24.5466957,24.06396284,59.082421,3
A0140,2024-09-25 04:26:20,38.82303095,38.82303095,139.7629114,582345.4642,156.8588448,102617.5046,25.36196494,39.57495509,97.16538268,4
A0141,2024-09-25 04:26:21,25.02241138,25.02241138,90.08068098,375336.1708,263.0084975,96052.23774,27.95085911,25.50704524,62.62551167,3
A0142,2024-09-25 04:26:22,16.36433692,16.36433692,58.91161292,245465.0538,365.2590526,97122.90293,24.48758377,16.68128127,40.95628344,2
A0143,2024-09-25 04:26:23,21.90560497,21.90560497,78.86017789,328584.0745,393.6748607,101418.5214,25.51097978,22.32987255,54.82484076,3
A0144,2024-09-25 04:26:24,35.6836168,35.6836168,128.4610205,535254.252,51.52496129,98250.79428,15.52350756,36.3747368,89.30812966,4
A0145,2024-09-25 04:26:25,38.82221841,38.82221841,139.7599863,582333.2761,450.3411391,98424.81319,23.74127708,39.57412682,97.16334908,4
A0146,2024-09-25 04:26:26,12.21051922,12.21051922,43.9578692,183157.7883,371.1247377,99305.56322,17.07075809,12.44701246,30.5602047,2
A0147,2024-09-25 04:26:27,15.25182583,15.25182583,54.90657298,228777.3874,345.6635691,101116.2878,17.50151787,15.54722307,38.17191644,2
A0148,2024-09-25 04:26:28,39.0610556,39.0610556,140.6198002,585915.834,351.9961781,101181.5273,22.40522078,39.81758981,97.76110527,4
A0149,2024-09-25 04:26:29,12.33695443,12.33695443,44.41303593,185054.3164,6.365681614,102305.8399,24.53861369,12.57589646,30.8766438,2
A0150,2024-09-25 04:26:30,10.74839415,10.74839415,38.69421893,161225.9122,353.5296907,100929.8078,22.7739985,10.95656896,26.90083193,2
A0151,2024-09-25 04:26:31,22.30204243,22.30204243,80.28735273,334530.6364,229.7899237,104808.3673,16.89638569,22.7339882,55.81703525,3
A0152,2024-09-25 04:26:32,37.75601632,37.75601632,135.9216587,566340.2448,12.35162657,104564.3614,16.85763036,38.48727454,94.49488318,4
A0153,2024-09-25 04:26:33,24.95018055,24.95018055,89.82064998,374252.7082,65.32340394,98274.30342,22.43284818,25.43341544,62.44473401,3
A0154,2024-09-25 04:26:34,37.64332911,37.64332911,135.5159848,564649.9367,461.4837473,100396.6153,16.63757128,38.3724048,94.21285225,4
A0155,2024-09-25 04:26:35,19.66078834,19.66078834,70.77883802,294911.8251,27.56870339,100175.7818,24.64169323,20.04157833,49.20656569,2
A0156,2024-09-25 04:26:36,31.09977436,31.09977436,111.9591877,466496.6154,460.6846274,101846.6676,16.89768121,31.70211454,77.83579497,4
A0157,2024-09-25 04:26:37,37.5245113,37.5245113,135.0882407,562867.6696,435.8253239,96041.36477,20.41413308,38.25128573,93.91547779,4
A0158,2024-09-25 04:26:38,33.01020104,33.01020104,118.8367238,495153.0156,311.3260045,104594.4913,25.23049047,33.64954235,82.61716663,4
A0159,2024-09-25 04:26:39,33.85899326,33.85899326,121.8923757,507884.899,176.1198883,98312.23969,24.27058169,34.51477397,84.74150414,4
A0160,2024-09-25 04:26:40,24.3687217,24.3687217,87.72739814,365530.8256,444.4021641,97662.75897,28.43576219,24.84069491,60.98947228,3
A0161,2024-09-25 04:26:41,17.52068991,17.52068991,63.07448369,262810.3487,67.28248513,104338.5027,29.36355606,17.86003049,43.85037692,2
A0162,2024-09-25 04:26:42,12.63428744,12.63428744,45.48343477,189514.3115,239.3808084,102315.0609,19.30441301,12.87898821,31.62080197,2
A0163,2024-09-25 04:26:43,20.53385493,20.53385493,73.92187774,308007.8239,442.1396265,96532.18057,26.26115878,20.93155446,51.39165654,3
A0164,2024-09-25 04:26:44,18.46022602,18.46022602,66.45681368,276903.3903,410.4249317,99312.65193,20.87441074,18.81776353,46.20182613,2
A0165,2024-09-25 04:26:45,24.66319833,24.66319833,88.78751399,369947.975,244.954954,95956.90928,20.58411102,25.14087496,61.72648156,3
A0166,2024-09-25 04:26:46,26.90137254,26.90137254,96.84494113,403520.588,116.7045203,96408.03022,15.77134087,27.4223981,67.32813213,3
A0167,2024-09-25 04:26:47,32.97761784,32.97761784,118.7194242,494664.2676,95.57486822,96418.75099,23.05027449,33.61632807,82.53561814,4
A0168,2024-09-25 04:26:48,16.23868656,16.23868656,58.45927161,243580.2984,140.9262425,103370.8317,27.65966693,16.55319731,40.64180862,2
A0169,2024-09-25 04:26:49,38.15107392,38.15107392,137.3438661,572266.1089,207.7038549,100816.359,22.40960313,38.88998361,95.48362421,4
A0170,2024-09-25 04:26:50,17.63622911,17.63622911,63.49042479,264543.4366,227.258875,99930.97673,18.27770471,17.97780745,44.13954574,2
A0171,2024-09-25 04:26:51,22.37024637,22.37024637,80.53288693,335553.6955,241.3409732,99881.81308,19.04641644,22.80351312,55.9877345,3
A0172,2024-09-25 04:26:52,15.30662711,15.30662711,55.10385761,229599.4067,166.714322,103587.4748,15.79658952,15.60308574,38.30907183,2
A0173,2024-09-25 04:26:53,14.81429595,14.81429595,53.3314654,222214.4392,145.7528763,97181.43512,18.60986822,15.10121911,37.07687678,2
A0174,2024-09-25 04:26:54,30.49196794,30.49196794,109.7710846,457379.5191,167.3799725,102984.0631,27.49997339,31.08253612,76.31459114,4
A0175,2024-09-25 04:26:55,16.02331916,16.02331916,57.68394899,240349.7875,91.66536875,104528.8994,26.12320704,16.33365868,40.10279209,2
A0176,2024-09-25 04:26:56,10.80670722,10.80670722,38.904146,162100.6083,68.62217569,101482.7856,24.74514227,11.01601144,27.04677655,2
A0177,2024-09-25 04:26:57,12.69628869,12.69628869,45.70663927,190444.3303,398.225717,98638.44075,16.43803622,12.9421903,31.77597727,2
A0178,2024-09-25 04:26:58,20.29419079,20.29419079,73.05908683,304412.8618,219.7170129,100540.5542,15.16558174,20.68724851,50.79183067,3
A0179,2024-09-25 04:26:59,25.98463164,25.98463164,93.54467389,389769.4746,133.385468,102246.4849,25.8202597,26.48790177,65.03373424,3
A0180,2024-09-25 04:27:00,13.48281409,13.48281409,48.53813073,202242.2114,73.86950428,101084.6363,20.38933224,13.74394912,33.74447483,2
A0181,2024-09-25 04:27:01,23.83644323,23.83644323,85.81119564,357546.6485,413.0339503,96879.59599,18.71001567,24.29810727,59.65729805,3
A0182,2024-09-25 04:27:02,23.61212403,23.61212403,85.00364649,354181.8604,56.00608259,99229.68989,29.7811421,24.06944345,59.09587714,3
A0183,2024-09-25 04:27:03,11.25401419,11.25401419,40.5144511,168810.2129,428.0270467,99816.2724,22.62444756,11.47198185,28.16628607,2
A0184,2024-09-25 04:27:04,24.29524231,24.29524231,87.46287233,364428.6347,7.266285077,104913.0965,28.49386704,24.76579237,60.80556976,3
A0185,2024-09-25 04:27:05,17.44791993,17.44791993,62.81251175,261718.799,281.9241181,95650.05758,21.38399526,17.7858511,43.6682499,2
A0186,2024-09-25 04:27:06,13.30683503,13.30683503,47.90460612,199602.5255,239.5791197,101927.3611,26.10753644,13.56456171,33.30403852,2
A0187,2024-09-25 04:27:07,12.52646443,12.52646443,45.09527195,187896.9665,297.045387,101211.7798,20.10839465,12.76907689,31.35094505,2
A0188,2024-09-25 04:27:08,33.1859056,33.1859056,119.4692602,497788.584,91.32360556,99990.27547,22.15740774,33.82864995,83.05691593,4
A0189,2024-09-25 04:27:09,15.74868157,15.74868157,56.69525366,236230.2236,362.781356,99965.48945,18.94769216,16.05370191,39.41543548,2
